0,,0
1,,1
2,,1
3,,0
4,,1
5,,0
6,,1
7, pain,2
8,,0
9, caus,2
10,,1
11,,0
12,look,1
13, develop,2
14,,1
15,,1
16,,0
17, caus help,3
18,,0
19,,1
20,,1
21,,0
22,week  get,3
23,,0
24,,0
25,,1
26,,0
27,pain,1
28,,1
29,,1
30,,1
31,,1
32,,1
33, someon get,3
34,,0
35,,0
36,,1
37,,1
38,,0
39,,1
40,,0
41,,1
42,,0
43,,1
44,,1
45,,1
46,,0
47,,1
48,,1
49,,1
50,,1
51, pain,2
52,,0
53,,1
54,,1
55,tmj,1
56,,1
57,,0
58, surgeri,2
59,,1
60,,0
61,,1
62,,0
63,,1
64,,1
65,,1
66,,1
67,,1
68,,1
69,,0
70, doctor,2
71,,1
72, could tooth,3
73,,0
74,,1
75,,1
76,,1
77,,1
78, left,2
79,,1
80, recommend,2
81,,1
82, breast,2
83,,0
84,,1
85,,1
86,,0
87, time,2
88, feel,2
89,,0
90,,1
91,,0
92, throat bad pain swollen,5
93,,0
94,,0
95,like,1
96,day,1
97,,1
98,,1
99, could,2
100,,0
101, month,2
102,see,1
103,,0
104,,0
105, caus possibl,3
106, allergi help,3
107,,1
108,,1
109, caus could,3
110,,1
111,,0
112,,1
113,,0
114,,1
115,,0
116,,1
117,,1
118,,1
119,,1
120,,1
121, chest breast,3
122,,1
123, breast,2
124,,1
125,,0
126,,1
127,stop,1
128,,1
129,,0
130,caus,1
131, pain,2
132, need,2
133,worri,1
134,,1
135, bodi,2
136,,1
137,,1
138,pregnant,1
139,,0
140, get,2
141,,0
142, pain,2
143,,0
144,,0
145,,1
146,,1
147, old,2
148,,1
149,,1
150,,0
151,,1
152, infect white,3
153,,0
154,might,1
155,,0
156, see,2
157, right neck,3
158,,1
159,,1
160,,1
161, pain,2
162,get,1
163, get,2
164,,1
165, may,2
166, pain,2
167,test,1
168,,1
169,,1
170,,1
171,,1
172,,1
173,,0
174,,1
175,,1
176,,0
177, caus,2
178,,0
179, surgeri later,3
180,infect,1
181,,1
182,,1
183,,1
184,,1
185,,1
186,,0
187, like,2
188,,1
189, infect,2
190,,1
191,,1
192, remain,2
193,,1
194,,0
195,,1
196,,1
197,,0
198,,1
199,,0
200,,0
201,,0
202,,0
203,breast grow,2
204,,0
205,,1
206,,1
207,,0
208, cancer,2
209, throat,2
210,,0
211,surgeri,1
212,,1
213,,1
214,,0
215,caus,1
216,,0
217, help recent,3
218,,0
219, heart attack test,4
220, long,2
221,,1
222,,1
223,,1
224,,1
225,,1
226,,0
227,,0
228,,1
229, white,2
230, antibiot doctor,3
231,,1
232,caus,1
233,,1
234,,0
235,,0
236,,0
237,,0
238,,1
239,,1
240,,1
241,,1
242,,1
243,,1
244,,0
245,pain,1
246,,0
247,,0
248,,1
249,,0
250, day,2
251,,0
252,,0
253,,1
254,,1
255,,0
256,,1
257, pain,2
258, 3,2
259,tooth,1
260,,0
261, aspirin ibuprofen,3
262,,0
263, gallbladd pain,3
264, possibl,2
265,,0
266,symptom,1
267,,0
268,,1
269,,0
270, want,2
271,,0
272,,0
273, symptom,2
274,,1
275,,1
276, eye,2
277, would,2
278,,1
279,,1
280,,0
281,,1
282,ask eye,2
283,,1
284,,1
285,,1
286,wisdom,1
287,,0
288,,0
289,,1
290,,1
291,,1
292,,0
293, realli,2
294,,1
295,,1
296,,1
297,,1
298, mani help,3
299,,1
300, drain,2
301,sound  like,3
302,,1
303,,1
304,,0
305,,1
306,,1
307,,1
308,,0
309,,1
310,,1
311,,0
312,,1
313,,1
314, problem dont know,4
315,,1
316,,1
317,,1
318, surgeri,2
319, could,2
320,,1
321,,1
322,,1
323, caus,2
324, get,2
325, doc see,3
326,,1
327, pain,2
328,,0
329,,1
330,,0
331,,1
332,,0
333,,1
334,,0
335,,1
336,,1
337,,1
338,,1
339,,1
340,,1
341, would,2
342,,0
343, pain,2
344, could get,3
345,,1
346, need,2
347, sure,2
348, symptom would,3
349,,1
350,,0
351,,0
352,,0
353,,0
354,,0
355, neurologist pain,3
356, get,2
357,,1
358, doctor,2
359,,1
360,,0
361,week  day,3
362,,1
363,,0
364,,0
365, cancer,2
366,,1
367,,1
368,pain,1
369,,1
370,,1
371,,0
372,,0
373, rather,2
374, feel swell pain,4
375,,1
376,doctor,1
377,,1
378,,1
379, time,2
380, diabet,2
381,,1
382,,0
383,,1
384,within area,2
385,,1
386, cough,2
387, help,2
388,,0
389,take,1
390,,0
391,,1
392,,1
393,,0
394, test,2
395,,1
396,,1
397, one,2
398,,1
399,,0
400,,1
401,week littl,2
402,,1
403, pain,2
404,,1
405,,1
406,,0
407,,1
408,,1
409, may,2
410,,1
411, use,2
412,,0
413,,1
414, ill,2
415,,0
416,,1
417,,1
418,,0
419,,1
420,,1
421,,0
422,,1
423,,1
424, pain,2
425, time,2
426,,1
427,,1
428,,1
429,,1
430,,1
431,,1
432,,1
433,,1
434,,1
435,infect,1
436,,1
437,,1
438, worri,2
439,,1
440,,1
441,pain,1
442, pain,2
443,,1
444, pain,2
445,,1
446,,1
447,,1
448, root,2
449, could,2
450,,0
451, red,2
452,,0
453,,1
454, physician like,3
455, pregnanc,2
456,patient,1
457,,0
458,,1
459,,1
460,,0
461,,0
462,,0
463,,1
464,,1
465, normal,2
466,,0
467, give,2
468,,1
469,,1
470,,1
471,,1
472,,1
473,,0
474, dizzi,2
475,,1
476,,1
477, done,2
478,,1
479, day,2
480,,0
481,,1
482,,1
483,,1
484,,1
485,effect,1
486, bleed rectal,3
487,,1
488,molar  pain,3
489,,1
490,,1
491,,1
492,,1
493, med,2
494,,1
495,,1
496,doctor,1
497,,1
498, problem,2
499,,1
500, 1,2
501,,0
502,,1
503,,1
504,,1
505,,0
506,side,1
507,,1
508,,1
509,see,1
510,,1
511,,0
512,,1
513,,1
514,,0
515,,0
516,,0
517,,0
518,,0
519,,0
520,,1
521, pain year,3
522,,0
523,,1
524,,0
525,,0
526,,0
527,treatment,1
528,,1
529,,1
530,,0
531,,0
532, sensat,2
533,,0
534, pain area,3
535, mean,2
536,,0
537,,0
538,,0
539, upper,2
540,,1
541,,1
542,,1
543,,0
544,,0
545,,1
546,,1
547,sleep stop treatment,3
548,,1
549,,0
550,,1
551,,1
552,,0
553,,1
554,,1
555,,1
556,,1
557,,1
558,,0
559,,1
560,,0
561,,1
562, pain,2
563,,1
564,,1
565, treatment,2
566, well,2
567,,1
568,cancer,1
569,,0
570, feel,2
571,,1
572,,1
573,,0
574,,1
575,,1
576,,1
577,,1
578,,1
579,,0
580,,1
581,caus,1
582,,0
583,,1
584, asap,2
585, could,2
586,,1
587,,1
588,,0
589, help side,3
590,,1
591,,1
592,,1
593,,0
594,normal,1
595,,1
596,,0
597,,1
598,,1
599, breath chest short pain,5
600,,1
601,,0
602,would,1
603, pain,2
604,,0
605,,1
606,,0
607,,0
608,,1
609,,0
610,,0
611, test done blood,4
612,,1
613,,1
614, pain,2
615,,0
616,,0
617,,1
618, arm normal,3
619,get,1
620,,0
621,,0
622, normal,2
623,,1
624,,1
625,,1
626, cancer,2
627,could,1
628,,1
629,,1
630, get,2
631,doctor,1
632,,0
633,,1
634,,1
635,like,1
636,,1
637, end,2
638,,0
639, ms,2
640, lab,2
641,,1
642,,1
643,,1
644, day would one,4
645,,0
646,,1
647,,0
648,,1
649, swollen teeth wisdom,4
650, still,2
651,,1
652,,1
653,,1
654,,0
655,,1
656,,0
657,,1
658,,0
659,,0
660,,1
661, ive,2
662, infect drug,3
663,,0
664,,1
665, surgeri,2
666,,1
667,,1
668,,0
669,,0
670,,0
671,,1
672,,1
673,,0
674, proper,2
675, pain,2
676, system,2
677,,1
678,,0
679,,1
680,,1
681, get,2
682,,1
683,,1
684,infect,1
685,,0
686,,1
687, sex,2
688,,0
689,,1
690,,0
691,,0
692,see,1
693,,0
694,,0
695,,1
696,,0
697, caus,2
698,,1
699,caus,1
700, get,2
701,take,1
702,,1
703,,0
704,,1
705,cancer,1
706,,1
707,,0
708,,1
709, need,2
710,,1
711,,0
712,,1
713,,1
714, vessel blood,3
715,,0
716,,1
717,pain,1
718,,0
719,,0
720,,1
721, blood show,3
722,node  lymph,3
723,,0
724,,1
725,,1
726,,1
727,,1
728,side left,2
729,,0
730, xray,2
731, get,2
732,,1
733,,1
734,,1
735, pain,2
736,,0
737,symptom,1
738,,1
739, pain,2
740,,0
741, year,2
742, caus,2
743,,1
744,,1
745,,1
746,node lymph,2
747, need,2
748,,0
749,,1
750,tooth,1
751,,1
752,,0
753,,0
754,,0
755, like,2
756,,1
757,,1
