0,68
1,177
2,189
3,47
4,105
5,110
6,234
7,247
8,177
9,267
10,217
11,149
12,195
13,122
14,111
15,75
16,123
17,59
18,104
19,275
20,240
21,326
22,111
23,209
24,91
25,179
26,210
27,24
28,65
29,135
30,130
31,148
32,102
33,249
34,264
35,43
36,40
37,206
38,105
39,289
40,240
41,28
42,91
43,249
44,198
45,41
46,150
47,261
48,58
49,60
50,238
51,93
52,104
53,133
54,73
55,160
56,210
57,158
58,146
59,52
60,137
61,77
62,239
63,276
64,157
65,104
66,170
67,182
68,116
69,253
70,213
71,234
72,163
73,235
74,304
75,75
76,104
77,41
78,19
79,249
80,197
81,229
82,203
83,219
84,257
85,194
86,65
87,120
88,285
89,155
90,189
91,66
92,73
93,197
94,99
95,212
96,269
97,257
98,168
99,144
100,187
101,126
102,137
103,135
104,60
105,60
106,37
107,242
108,270
109,91
110,104
111,239
112,216
113,160
114,175
115,169
116,251
117,137
118,205
119,260
120,101
121,21
122,169
123,195
124,249
125,116
126,102
127,137
128,115
129,139
130,267
131,22
132,170
133,115
134,199
135,36
136,286
137,240
138,27
139,136
140,274
141,274
142,28
143,164
144,148
145,70
146,54
147,68
148,41
149,126
150,296
151,93
152,158
153,78
154,196
155,214
156,118
157,142
158,159
159,141
160,231
161,211
162,165
163,124
164,89
165,53
166,22
167,256
168,81
169,93
170,87
171,147
172,158
173,177
174,125
175,216
176,267
177,92
178,35
179,173
180,247
181,177
182,198
183,176
184,282
185,162
186,35
187,216
188,137
189,22
190,71
191,249
192,146
193,93
194,89
195,130
196,142
197,141
198,143
199,167
200,112
201,301
202,163
203,138
204,261
205,185
206,190
207,150
208,205
209,284
210,128
211,108
212,122
213,246
214,91
215,249
216,103
217,96
218,55
219,240
220,153
221,243
222,190
223,162
224,191
225,172
226,20
227,87
228,149
229,80
230,111
231,89
232,64
233,244
234,244
235,35
236,28
237,97
238,183
239,106
240,189
241,199
242,273
243,61
244,67
245,228
246,79
247,177
248,133
249,117
250,83
251,61
252,265
253,105
254,72
255,120
256,75
257,112
258,196
259,185
260,195
261,56
262,137
263,183
264,167
265,155
266,141
267,203
268,289
269,198
270,157
271,115
272,66
273,27
274,281
275,61
276,98
277,57
278,120
279,186
280,200
281,155
282,75
283,238
284,86
285,275
286,29
287,240
288,202
289,260
290,149
291,87
292,161
293,206
294,202
295,111
296,12
297,262
298,289
299,8
300,104
301,102
302,85
303,62
304,105
305,144
306,149
307,229
308,167
309,253
310,112
311,137
312,273
313,211
314,190
315,10
316,264
317,262
318,175
319,118
320,121
321,119
322,47
323,77
324,206
325,65
326,262
327,42
328,65
329,240
330,68
331,160
332,149
333,119
334,246
335,78
336,249
337,245
338,257
339,68
340,139
341,155
342,236
343,240
344,152
345,160
346,196
347,125
348,119
349,194
350,252
351,95
352,116
353,35
354,119
355,53
356,37
357,113
358,202
359,162
360,98
361,141
362,157
363,135
364,278
365,154
366,247
367,229
368,149
369,72
370,264
371,256
372,270
373,170
374,163
375,149
376,207
377,212
378,270
379,119
380,81
381,59
382,99
383,304
384,203
385,44
386,96
387,269
388,137
389,131
390,108
391,270
392,127
393,44
394,88
395,99
396,146
397,104
398,110
399,273
400,69
401,193
402,205
403,44
404,116
405,176
406,151
407,147
408,187
409,234
410,89
411,53
412,238
413,138
414,98
415,160
416,88
417,127
418,30
419,47
420,143
421,123
422,289
423,112
424,260
425,112
426,115
427,90
428,239
429,99
430,243
431,113
432,251
433,238
434,264
435,163
436,114
437,232
438,297
439,74
440,135
441,39
442,19
443,130
444,104
445,44
446,262
447,132
448,49
449,69
450,266
451,73
452,160
453,234
454,99
455,191
456,78
457,89
458,261
459,234
460,208
461,240
462,50
463,131
464,149
465,49
466,154
467,282
468,251
469,257
470,149
471,120
472,165
473,160
474,180
475,161
476,110
477,121
478,205
479,257
480,254
481,200
482,204
483,191
484,210
485,104
486,180
487,197
488,242
489,139
490,103
491,219
492,71
493,167
494,181
495,104
496,144
497,149
498,130
499,143
500,93
501,119
502,163
503,89
504,219
505,218
506,86
507,53
508,190
509,258
510,46
511,89
512,155
513,182
514,74
515,210
516,275
517,237
518,143
519,144
520,212
521,103
522,146
523,29
524,182
525,103
526,103
527,87
528,101
529,78
530,57
531,149
532,197
533,196
534,121
535,208
536,80
537,152
538,179
539,87
540,175
541,274
542,70
543,471
544,146
545,176
546,262
547,142
548,241
549,35
550,134
551,152
552,131
553,59
554,44
555,127
556,166
557,41
558,292
559,38
560,89
561,285
562,263
563,85
564,186
565,94
566,32
567,210
568,165
569,104
570,245
571,264
572,167
573,68
574,234
575,145
576,164
577,168
578,164
579,124
580,75
581,231
582,178
583,85
584,108
585,66
586,258
587,167
588,238
589,144
590,159
591,172
592,46
593,49
